Name,NOC,Year,Number of Sports Athlete Plays,Number of Events Athlete Competes In,Number of Games Athlete Competed In,Won_Gold_True,Won_Silver_True,Won_Bronze_True,Athlete's Gold Medals,Athlete's Silver Medals,Athlete's Bronze Medals,Male_True
Olim Kurbanov,TJK,2016,1,1,1,0,0,0,0,0,0,1
Ruslan Kurbanov,UZB,2016,2,3,2,0,0,0,0,0,0,1
Shokhrat Kurbanov,TKM,2004,1,1,1,0,0,0,0,0,0,1
Utkir Kurbanov,UZB,2008,1,1,1,0,0,0,0,0,0,1
Zarina Kurbanova,UZB,2016,1,1,1,0,0,0,0,0,0,0
Aleksey Kurbatov,RUS,2016,1,1,1,0,0,0,0,0,0,1
Soyib Kurbonov,UZB,2016,1,1,1,0,0,0,0,0,0,1
Viktor Kurchenko,UKR,2000,1,2,1,0,0,0,0,0,0,1
Bartosz Kurek,POL,2012,1,2,3,0,0,0,0,0,0,1
Bartosz Kurek,POL,2016,1,2,3,0,0,0,0,0,0,1
Karlo Kuret,CRO,2000,1,1,2,0,0,0,0,0,0,1
Karlo Kuret,CRO,2004,1,1,2,0,0,0,0,0,0,1
Gheorghe Kurgheleasvili,MDA,2000,1,1,1,0,0,0,0,0,0,1
ubomra Kurhajcov,SVK,2004,1,2,1,0,0,0,0,0,0,0
Ayane Kurihara,JPN,2016,1,1,1,0,0,0,0,0,0,0
Megumi Kurihara,JPN,2004,1,1,2,0,0,0,0,0,0,0
Megumi Kurihara,JPN,2008,1,1,2,0,0,0,0,0,0,0
Mika Kurihara,JPN,2016,1,1,1,0,0,0,0,0,0,0
Naoki Kurita,JPN,2000,1,2,1,0,0,0,0,0,0,1
Maria Kurjo,GER,2012,1,1,2,0,0,0,0,0,0,0
Maria Kurjo,GER,2016,1,1,2,0,0,0,0,0,0,0
Kateina Krkov-emmons,CZE,2004,1,2,3,0,0,1,1,1,1,0
Kateina Krkov-emmons,CZE,2008,1,2,3,1,0,0,1,1,1,0
Kateina Krkov-emmons,CZE,2012,1,2,3,0,0,0,1,1,1,0
Cameron Kurle,GBR,2016,1,1,1,0,0,0,0,0,0,1
Aleksandr Kurlyandchik,BLR,2004,1,2,1,0,0,0,0,0,0,1
Mehtap Kurnaz,TUR,2016,1,1,1,0,0,0,0,0,0,0
Edi Kurniawan,INA,2008,1,1,1,0,0,0,0,0,0,1
Hiroki Kuroda,JPN,2004,1,1,1,0,0,1,0,0,1,1
Mayu Kuroda,JPN,2008,1,4,1,0,0,0,0,0,0,0
Akane Kuroki,JPN,2016,1,2,1,0,0,0,0,0,0,0
Tomohiro Kuroki,JPN,2000,1,1,1,0,0,0,0,0,0,1
Moses Kurong,UGA,2016,1,1,1,0,0,0,0,0,0,1
Narumi Kurosu,JPN,2012,1,1,1,0,0,0,0,0,0,0
Karen Kurreck,USA,2000,1,2,1,0,0,0,0,0,0,0
Wolfram Kurschat,GER,2008,1,1,1,0,0,0,0,0,0,1
Michael Kurt,SUI,2004,1,1,3,0,0,0,0,0,0,1
Michael Kurt,SUI,2008,1,1,3,0,0,0,0,0,0,1
Michael Kurt,SUI,2012,1,1,3,0,0,0,0,0,0,1
Lajos Krthy,HUN,2008,1,1,2,0,0,0,0,0,0,1
Lajos Krthy,HUN,2012,1,1,2,0,0,0,0,0,0,1
va Krti,HUN,2004,1,2,1,0,0,0,0,0,0,0
Zsolt Krtsi,HUN,2000,1,1,1,0,0,0,0,0,0,1
Amanda Kurtovic,NOR,2012,1,1,2,1,0,0,1,0,1,0
Amanda Kurtovic,NOR,2016,1,1,2,0,0,1,1,0,1,0
Magomed Kurugliyev,KAZ,2000,1,1,2,0,0,0,0,0,0,1
Magomed Kurugliyev,KAZ,2004,1,1,2,0,0,0,0,0,0,1
Anton Kurukulasooriyage,SRI,2016,1,1,1,0,0,0,0,0,0,1
Manfred Kurzer,GER,2000,1,1,2,0,0,0,1,0,0,1
Manfred Kurzer,GER,2004,1,1,2,1,0,0,1,0,0,1
Davor Kus,CRO,2008,1,1,1,0,0,0,0,0,0,1
Mateusz Kus,POL,2016,1,1,1,0,0,0,0,0,0,1
Kie Kusakabe,JPN,2000,1,1,2,0,0,1,0,0,1,0
Kie Kusakabe,JPN,2004,1,1,2,0,0,0,0,0,1,0
Kurt Kuschela,GER,2012,1,1,1,1,0,0,1,0,0,1
Tsveta Kuseva,BUL,2008,1,1,1,0,0,0,0,0,0,0
Oksana Kushch-fadeyeva,RUS,2000,1,2,3,0,0,0,0,0,0,0
Oksana Kushch-fadeyeva,RUS,2004,1,2,3,0,0,0,0,0,0,0
Oksana Kushch-fadeyeva,RUS,2008,1,2,3,0,0,0,0,0,0,0
Nataliya Kushch-mazuryk,UKR,2008,1,1,2,0,0,0,0,0,0,0
Nataliya Kushch-mazuryk,UKR,2012,1,1,2,0,0,0,0,0,0,0
Gulnara Kusherbayeva,KAZ,2000,1,1,1,0,0,0,0,0,0,0
Masatoshi Kushibiki,JPN,2016,1,1,1,0,0,0,0,0,0,1
Mikhail Kushnerev,RUS,2000,1,1,1,0,0,0,0,0,0,1
Denys Kushnirov,UKR,2012,1,1,1,0,0,0,0,0,0,1
Michael Kusiewicz,CAN,2004,1,1,1,0,0,0,0,0,0,1
Vivien Kussatz,GER,2008,1,1,1,0,0,0,0,0,0,0
Sabine Kusterer,GER,2016,1,1,1,0,0,0,0,0,0,0
Darya Kustova,BLR,2008,1,1,1,0,0,0,0,0,0,0
Kaori (kawakami-),JPN,2004,1,1,1,0,0,0,0,0,0,0
Chiaki Kusuhara,JPN,2004,1,1,2,0,0,0,0,0,0,0
Chiaki Kusuhara,JPN,2008,1,1,2,0,0,0,0,0,0,0
Diaz Kusumawardani,INA,2012,1,1,1,0,0,0,0,0,0,0
Ante Kuurin,CRO,2008,1,1,1,0,0,0,0,0,0,1
Geoffrey Kusuro,UGA,2008,1,1,2,0,0,0,0,0,0,1
Geoffrey Kusuro,UGA,2012,1,1,2,0,0,0,0,0,0,1
Marcin Kuszewski,POL,2000,1,1,1,0,0,0,0,0,0,1
Mateusz Kusznierewicz,POL,2000,1,2,4,0,0,0,0,0,1,1
Mateusz Kusznierewicz,POL,2004,1,2,4,0,0,1,0,0,1,1
Mateusz Kusznierewicz,POL,2008,1,2,4,0,0,0,0,0,1,1
Mateusz Kusznierewicz,POL,2012,1,2,4,0,0,0,0,0,1,1
Pter Kusztor,HUN,2008,1,1,1,0,0,0,0,0,0,1
Rita Kis,HUN,2000,1,1,1,0,0,0,0,0,0,0
Ondrej Kutlk,SVK,2008,1,1,1,0,0,0,0,0,0,1
Marco Kutscher,GER,2004,1,2,2,0,0,1,0,0,2,1
Marco Kutscher,GER,2008,1,2,2,0,0,0,0,0,2,1
Martn Belgeri,URU,2004,1,3,2,0,0,0,0,0,0,1
Martn Belgeri,URU,2008,1,3,2,0,0,0,0,0,0,1
Paul Belgeri,URU,2000,1,2,2,0,0,0,0,0,0,1
Paul Belgeri,URU,2004,1,2,2,0,0,0,0,0,0,1
Yuliya Kutsko,KAZ,2008,1,1,1,0,0,0,0,0,0,0
Csaba Kuttor,HUN,2000,1,1,2,0,0,0,0,0,0,1
Csaba Kuttor,HUN,2008,1,1,2,0,0,0,0,0,0,1
Phobay Kutu-akoi,LBR,2012,1,1,1,0,0,0,0,0,0,0
Thabiso Kutumela,RSA,2016,1,1,1,0,0,0,0,0,0,1
Nataliya Kutuzova,RUS,2000,1,1,1,0,0,1,0,0,1,0
Kristina Kuusk,EST,2016,1,1,1,0,0,0,0,0,0,0
Vadym Kuvakin,UKR,2004,1,7,1,0,0,0,0,0,0,1
Rustam Kuvatov,KAZ,2004,1,2,2,0,0,0,0,0,0,1
Rustam Kuvatov,KAZ,2008,1,2,2,0,0,0,0,0,0,1
Ano Kuwai,JPN,2016,1,1,1,0,0,0,0,0,0,0
Yusaku Kuwazuru,JPN,2016,1,1,1,0,0,0,0,0,0,1
Rastislav Kuel,SVK,2000,1,1,1,0,0,0,0,0,0,1
Dmitry Kuzelev,RUS,2000,1,1,1,1,0,0,1,0,0,1
Olga Kuzenkova,RUS,2000,1,1,2,0,1,0,1,1,0,0
Olga Kuzenkova,RUS,2004,1,1,2,1,0,0,1,1,0,0
Olga Kuzhela,RUS,2008,1,1,1,1,0,0,1,0,0,0
Marina Kuzhmar,BLR,2000,1,1,1,0,0,0,0,0,0,0
Aleksy Kuziemski,POL,2004,1,1,1,0,0,0,0,0,0,1
Oleksandr Kuzin,UKR,2008,1,1,1,0,0,0,0,0,0,1
Marina Kuzina,RUS,2008,1,1,2,0,0,1,0,0,1,0
Marina Kuzina,RUS,2012,1,1,2,0,0,0,0,0,1,0
Svetlana Kuzina,RUS,2000,1,1,1,0,0,1,0,0,1,0
Yuliya Kuzina,RUS,2000,1,1,2,0,0,0,0,0,0,0
Yuliya Kuzina,RUS,2008,1,1,2,0,0,0,0,0,0,0
Pawe Kumicki,POL,2000,1,1,1,0,0,0,0,0,0,1
Dmitry Kuzmin,KGZ,2000,1,3,1,0,0,0,0,0,0,1
Fyodor Kuzmin,RUS,2008,1,2,1,0,0,0,0,0,0,1
Igor Kuzmin,EST,2004,1,1,2,0,0,0,0,0,0,1
Igor Kuzmin,EST,2008,1,1,2,0,0,0,0,0,0,1
Stanislav Kuzmin,KAZ,2008,1,1,1,0,0,0,0,0,0,1
Afanasijs Kuzmins,LAT,2000,1,1,4,0,0,0,0,0,0,1
Afanasijs Kuzmins,LAT,2004,1,1,4,0,0,0,0,0,0,1
Afanasijs Kuzmins,LAT,2008,1,1,4,0,0,0,0,0,0,1
Afanasijs Kuzmins,LAT,2012,1,1,4,0,0,0,0,0,0,1
Mindaugas Kuzminskas,LTU,2016,1,1,1,0,0,0,0,0,0,1
Igor Kuzmyonok,BLR,2012,1,1,1,0,0,0,0,0,0,1
Andrey Kuznetsov,RUS,2016,1,1,1,0,0,0,0,0,0,1
Maksim Kuznetsov,RUS,2004,1,2,1,0,0,0,0,0,0,1
Mikhail Kuznetsov,RUS,2008,2,2,4,0,0,1,0,0,1,1
Mikhail Kuznetsov,RUS,2012,2,2,4,0,0,0,0,0,1,1
Mikhail Kuznetsov,RUS,2016,2,2,4,0,0,0,0,0,1,1
Mikhail Kuznetsov,KAZ,2000,2,2,4,0,0,0,0,0,1,1
Vladimir Kuznetsov,KAZ,2008,1,1,1,0,0,0,0,0,0,1
Yevgeny Kuznetsov,RUS,2012,1,2,2,0,0,0,0,1,0,1
Yevgeny Kuznetsov,RUS,2016,1,2,2,0,0,0,0,1,0,1
Polina (vyakhireva-),RUS,2016,1,1,1,1,0,0,1,0,0,0
Svetlana Kuznetsova,RUS,2004,1,2,3,0,0,0,0,0,0,0
Svetlana Kuznetsova,RUS,2008,1,2,3,0,0,0,0,0,0,0
Svetlana Kuznetsova,RUS,2016,1,2,3,0,0,0,0,0,0,0
Yelena Kuznetsova,KAZ,2000,2,3,3,0,0,0,0,0,0,0
Yelena Kuznetsova,KAZ,2004,2,3,3,0,0,0,0,0,0,0
Yelena Kuznetsova,UZB,2008,2,3,3,0,0,0,0,0,0,0
Yevgeniya Kuznetsova,BUL,2004,1,3,1,0,0,0,0,0,0,0
Viktor Kuznietsov,UKR,2008,1,2,2,0,0,0,0,0,0,1
Viktor Kuznietsov,UKR,2012,1,2,2,0,0,0,0,0,0,1
Nataliya Kuzyutina,RUS,2012,1,1,2,0,0,0,0,0,1,0
Nataliya Kuzyutina,RUS,2016,1,1,2,0,0,1,0,0,1,0
Manuchar K'virk'velia,GEO,2004,1,2,2,0,0,0,1,0,0,1
Manuchar K'virk'velia,GEO,2008,1,2,2,1,0,0,1,0,0,1
Gard Kvale,NOR,2008,1,3,1,0,0,0,0,0,0,1
Jan Kvalheim,NOR,2000,1,1,1,0,0,0,0,0,0,1
Alona Kvasha,UKR,2000,1,6,2,0,0,0,0,0,0,0
Alona Kvasha,UKR,2004,1,6,2,0,0,0,0,0,0,0
Illia Kvasha,UKR,2008,1,2,3,0,0,0,0,0,1,1
Illia Kvasha,UKR,2012,1,2,3,0,0,0,0,0,1,1
Illia Kvasha,UKR,2016,1,2,3,0,0,0,0,0,1,1
Matija Kvasina,CRO,2008,1,2,2,0,0,0,0,0,0,1
Matija Kvasina,CRO,2016,1,2,2,0,0,0,0,0,0,1
Andrey Kvasov,KAZ,2000,1,2,1,0,0,0,0,0,0,1
Andriy Kviatkovskiy,UKR,2012,1,1,2,0,0,0,0,0,0,1
Andriy Kviatkovskiy,UKR,2016,1,1,2,0,0,0,0,0,0,1
Petra Kvitov,CZE,2008,1,2,3,0,0,0,0,0,1,0
Petra Kvitov,CZE,2012,1,2,3,0,0,0,0,0,1,0
Petra Kvitov,CZE,2016,1,2,3,0,0,1,0,0,1,0
Khatuna Kvrivishvili-lorig,GEO,2000,1,2,3,0,0,0,0,0,0,0
Khatuna Kvrivishvili-lorig,USA,2008,1,2,3,0,0,0,0,0,0,0
Khatuna Kvrivishvili-lorig,USA,2012,1,2,3,0,0,0,0,0,0,0
Yelena Kvyatkovskaya,UZB,2000,1,1,1,0,0,0,0,0,0,0
Sara Kvrn,NOR,2012,1,1,1,0,0,0,0,0,0,0
Kwak Hyok-ju,PRK,2004,1,1,1,0,0,0,0,0,0,1
Kwak Jung-hye,KOR,2016,1,1,1,0,0,0,0,0,0,0
Kwak Ok-chol,PRK,2000,1,1,1,0,0,0,0,0,0,1
Jeannette Kwakye,GBR,2008,1,2,1,0,0,0,0,0,0,0
Pauline Kwalea,SOL,2008,1,1,2,0,0,0,0,0,0,0
Pauline Kwalea,SOL,2012,1,1,2,0,0,0,0,0,0,0
James Chepkurui,QAT,2008,1,1,1,0,0,0,0,0,0,1
Antipass Kwari,ZIM,2008,1,1,1,0,0,0,0,0,0,1
Ronald Kwemoi,KEN,2016,1,1,1,0,0,0,0,0,0,1
Micha Kwiatkowski,POL,2012,1,2,2,0,0,0,0,0,0,1
Micha Kwiatkowski,POL,2016,1,2,2,0,0,0,0,0,0,1
Sven Kwiatkowski,GER,2004,1,8,1,0,0,0,0,0,0,1
ukasz Kwiatkowski,POL,2004,1,3,2,0,0,0,0,0,0,1
ukasz Kwiatkowski,POL,2008,1,3,2,0,0,0,0,0,0,1
Julian Kwit,POL,2008,1,1,1,0,0,0,0,0,0,1
Ying Kwok,SGP,2000,1,1,1,0,0,0,0,0,0,1
Kimi Kwok,HKG,2000,1,3,1,0,0,0,0,0,0,1
Jin Kwok,HKG,2000,1,1,1,0,0,0,0,0,0,1
Kwon Chang-hoon,KOR,2016,1,1,1,0,0,0,0,0,0,1
Kwon Jun-cheol,KOR,2016,1,1,1,0,0,0,0,0,0,1
Kwon Tong-hyok,PRK,2008,1,1,1,0,0,0,0,0,0,1
Kwon Un-sil,PRK,2008,1,1,2,0,0,0,0,0,0,0
Kwon Un-sil,PRK,2012,1,1,2,0,0,0,0,0,0,0
Kwon Yeong-u,KOR,2004,1,1,1,0,0,0,0,0,0,1
Kwon Yong-gwang,PRK,2016,1,1,1,0,0,0,0,0,0,1
Phool Kyapchhaki,NEP,2008,1,1,1,0,0,0,0,0,0,0
Kye Sun-hui,PRK,2000,1,2,3,0,0,1,0,1,1,0
Kye Sun-hui,PRK,2004,1,2,3,0,1,0,0,1,1,0
Kye Sun-hui,PRK,2008,1,2,3,0,0,0,0,1,1,0
Maryna Kyiko,UKR,2012,1,1,1,0,0,0,0,0,0,0
Kaylyn Kyle,CAN,2012,1,1,1,0,0,1,0,0,1,0
Mark Kyle,IRL,2004,1,2,3,0,0,0,0,0,0,1
Mark Kyle,IRL,2012,1,2,3,0,0,0,0,0,0,1
Mark Kyle,IRL,2016,1,2,3,0,0,0,0,0,0,1
Tanja Kylliinen,FIN,2016,1,2,1,0,0,0,0,0,0,0
Maryna Kylypko,UKR,2016,1,2,2,0,0,0,0,0,0,0
Erik Jr.,USA,2012,1,1,2,0,1,0,0,1,0,1
Erik Jr.,USA,2016,1,1,2,0,0,0,0,1,0,1
Kristna Kynrov,CZE,2004,1,1,1,0,0,0,0,0,0,0
Nikoleta Kyriakopoulou,GRE,2008,1,2,3,0,0,0,0,0,0,0
Nikoleta Kyriakopoulou,GRE,2012,1,2,3,0,0,0,0,0,0,0
Alexia Kyriazi,GRE,2012,1,1,1,0,0,0,0,0,0,0
Kyra Kyrklund,FIN,2008,1,1,1,0,0,0,0,0,0,0
Svitlana Kyselova,UKR,2012,1,1,1,0,0,0,0,0,0,0
Anhelina Kysla,UKR,2016,1,4,1,0,0,0,0,0,0,0
Kyu Maung,MYA,2012,1,1,1,0,0,0,0,0,0,1
Dianne L'ami,NZL,2000,1,1,1,0,0,0,0,0,0,0
Enrico Cruz,NED,2016,1,1,1,0,0,0,0,0,0,1
Julio Peraza,CUB,2012,1,1,2,0,0,0,1,0,0,1
Julio Peraza,CUB,2016,1,1,2,1,0,0,1,0,0,1
Seth Fera,ITA,2000,1,1,2,0,0,0,0,0,0,1
Seth Fera,ITA,2004,1,1,2,0,0,0,0,0,0,1
Annie (burgess-),AUS,2000,1,1,1,0,1,0,0,1,0,0
Eric Fleur,SWE,2004,1,1,1,0,0,0,0,0,0,1
Marcus Grange,RSA,2004,1,2,1,0,0,0,0,0,0,1
Miguel Betancourt,CUB,2008,1,1,1,0,1,0,0,1,0,1
Simona Mantia,ITA,2004,1,1,2,0,0,0,0,0,0,0
Simona Mantia,ITA,2012,1,1,2,0,0,0,0,0,0,0
Livio Padula,ITA,2016,1,1,1,0,0,0,0,0,0,1
Audrey Rizza,FRA,2008,1,1,1,0,0,0,0,0,0,0
Stefano Rosa,ITA,2016,1,1,1,0,0,0,0,0,0,1
Sofine Labidi,TUN,2000,1,1,2,0,0,0,0,0,0,1
Sofine Labidi,TUN,2004,1,1,2,0,0,0,0,0,0,1
Amine Lalou,MAR,2004,1,1,2,0,0,0,0,0,0,1
Amine Lalou,MAR,2008,1,1,2,0,0,0,0,0,0,1
El-Hadi Laameche,ALG,2016,1,1,1,0,0,0,0,0,0,1
Tanel Laanme,EST,2016,1,1,1,0,0,0,0,0,0,1
Liina Laasma,EST,2016,1,1,1,0,0,0,0,0,0,0
Joshua Laban,ISV,2004,1,1,2,0,0,0,0,0,0,1
Joshua Laban,ISV,2008,1,1,2,0,0,0,0,0,0,1
Soumiya Labani,MAR,2012,1,1,1,0,0,0,0,0,0,0
Ceferino Labarda,ARG,2000,1,1,1,0,0,0,0,0,0,1
Mara Labat,ARG,2000,1,1,1,0,0,0,0,0,0,0
Jana Labthov,SVK,2016,1,1,1,0,0,0,0,0,0,0
Ibragim Labazanov,RUS,2016,1,1,1,0,0,0,0,0,0,1
Stephanie Labb,CAN,2016,1,1,1,0,0,1,0,0,1,0
Audrey Labeau,FRA,2008,1,1,2,0,0,0,0,0,0,0
Audrey Labeau,FRA,2012,1,1,2,0,0,0,0,0,0,0
Lissa Labiche,SEY,2012,1,1,2,0,0,0,0,0,0,0
Lissa Labiche,SEY,2016,1,1,2,0,0,0,0,0,0,0
Julie Labonte,CAN,2012,1,1,1,0,0,0,0,0,0,0
Marion Laborde,FRA,2012,1,1,1,0,1,0,0,1,0,0
Yurisel Duanes,CUB,2004,1,1,1,0,0,1,0,0,1,0
Romana Labounkov,CZE,2012,1,1,1,0,0,0,0,0,0,0
Mykola Labovskiy,UKR,2012,1,1,1,0,0,0,0,0,0,1
Ben-Rachmiel Labowitch,NZL,2004,1,3,1,0,0,0,0,0,0,1
Yanelis Daz,CUB,2004,1,1,1,0,1,0,0,1,0,0
Francis Labrosse,SEY,2000,1,1,2,0,0,0,0,0,0,1
Francis Labrosse,SEY,2004,1,1,2,0,0,0,0,0,0,1
Sara Labrousse,FRA,2012,1,1,1,0,0,0,0,0,0,0
Raimundas Labuckas,LTU,2008,1,1,1,0,0,0,0,0,0,1
Zandr Labuschagne,RSA,2004,1,5,1,0,0,0,0,0,0,0
Yevgeny Labutov,KAZ,2016,1,1,1,0,0,0,0,0,0,1
Zakaria Labyad,MAR,2012,1,1,1,0,0,0,0,0,0,1
Florent Lacasse,FRA,2004,1,1,1,0,0,0,0,0,0,1
Mihaela Lctu,ROU,2012,1,1,1,0,0,0,0,0,0,0
Nicholas Lacava,USA,2012,1,1,1,0,0,0,0,0,0,1
Rafael Paladino,NCA,2016,1,1,1,0,0,0,0,0,0,1
Genevieve Lacaze,AUS,2012,1,2,2,0,0,0,0,0,0,0
Genevieve Lacaze,AUS,2016,1,2,2,0,0,0,0,0,0,0
Virginie Lachaume,FRA,2004,1,1,1,0,0,0,0,0,0,0
Blandine Lachze,FRA,2004,1,1,1,0,0,0,0,0,0,0
Hasnaa Lachgar,MAR,2016,1,1,1,0,0,0,0,0,0,0
Asadulla Lachinov,BLR,2016,1,1,1,0,0,0,0,0,0,1
Martin Lachkovics,AUT,2000,1,2,1,0,0,0,0,0,0,1
Torsten Lachmann,AUS,2008,1,2,1,0,0,0,0,0,0,1
Martin Laciga,SUI,2000,1,1,3,0,0,0,0,0,0,1
Martin Laciga,SUI,2004,1,1,3,0,0,0,0,0,0,1
Martin Laciga,SUI,2008,1,1,3,0,0,0,0,0,0,1
Paul Laciga,SUI,2000,1,1,2,0,0,0,0,0,0,1
Paul Laciga,SUI,2004,1,1,2,0,0,0,0,0,0,1
Viktors Lcis,LAT,2000,1,1,1,0,0,0,0,0,0,1
Luk Lacko,SVK,2012,1,2,1,0,0,0,0,0,0,1
Blaenko Lackovi,CRO,2004,1,1,3,1,0,0,1,0,1,1
Blaenko Lackovi,CRO,2008,1,1,3,0,0,0,1,0,1,1
Blaenko Lackovi,CRO,2012,1,1,3,0,0,1,1,0,1,1
Camille Lacourt,FRA,2012,1,2,2,0,0,0,0,0,0,1
Camille Lacourt,FRA,2016,1,2,2,0,0,0,0,0,0,1
Alexandra Lacrabre,FRA,2008,1,1,3,0,0,0,0,1,0,0
Alexandra Lacrabre,FRA,2012,1,1,3,0,0,0,0,1,0,0
Alexandra Lacrabre,FRA,2016,1,1,3,0,1,0,0,1,0,0
Audrey Lacroix,CAN,2008,1,4,3,0,0,0,0,0,0,0
Audrey Lacroix,CAN,2012,1,4,3,0,0,0,0,0,0,0
Audrey Lacroix,CAN,2016,1,4,3,0,0,0,0,0,0,0
Jess Gmez,ESP,2000,1,1,1,0,1,0,0,1,0,1
Jessie Lacuna,PHI,2012,1,2,2,0,0,0,0,0,0,1
Jessie Lacuna,PHI,2016,1,2,2,0,0,0,0,0,0,1
Larisa Lcus,ROU,2004,1,2,1,0,0,0,0,0,0,0
Jeffrey Lacy,USA,2000,1,1,1,0,0,0,0,0,0,1
Caroline Ladagnous,FRA,2016,1,1,1,0,0,0,0,0,0,0
Matthieu Ladagnous,FRA,2004,1,2,2,0,0,0,0,0,0,1
Matthieu Ladagnous,FRA,2008,1,2,2,0,0,0,0,0,0,1
Abdulaziz Mohammed,KSA,2012,1,1,1,0,0,0,0,0,0,1
Jrat Ladaviit,LTU,2000,1,2,1,0,0,0,0,0,0,0
Christian Lademann,GER,2004,1,2,1,0,0,0,0,0,0,1
Rogen Ladon,PHI,2016,1,1,1,0,0,0,0,0,0,1
Vegard Laengen,NOR,2012,1,1,2,0,0,0,0,0,0,1
Vegard Laengen,NOR,2016,1,1,2,0,0,0,0,0,0,1
Andry Hernndez,CUB,2008,1,1,1,0,1,0,0,1,0,1
Michel Lafis,SWE,2000,1,1,1,0,0,0,0,0,0,1
Franck Lafitte,FRA,2016,1,1,1,0,0,0,0,0,0,1
Thea Lafond,DMA,2016,1,2,2,0,0,0,0,0,0,0
Marie-Zlia Lafont,FRA,2016,1,1,1,0,0,0,0,0,0,0
Pierre-Luc Laforest,CAN,2004,1,1,1,0,0,0,0,0,0,1
Azzadine Lagab,ALG,2012,1,1,1,0,0,0,0,0,0,1
Bernard Lagat,KEN,2000,1,2,5,0,0,1,0,1,1,1
Bernard Lagat,KEN,2004,1,2,5,0,1,0,0,1,1,1
Bernard Lagat,USA,2008,1,2,5,0,0,0,0,1,1,1
Bernard Lagat,USA,2012,1,2,5,0,0,0,0,1,1,1
Bernard Lagat,USA,2016,1,2,5,0,0,0,0,1,1,1
Elijah Lagat,KEN,2000,1,1,1,0,0,0,0,0,0,1
Viola Lagat,KEN,2016,1,1,1,0,0,0,0,0,0,0
Albin Lagergren,SWE,2016,1,2,2,0,0,0,0,0,0,1
Marouan Laghnej,TUN,2012,1,1,1,0,0,0,0,0,0,1
Karim Laghouag,FRA,2016,1,2,1,0,0,0,1,0,0,1
Panagiotis Lagos,GRE,2004,1,1,1,0,0,0,0,0,0,1
Angeliki Lagoumtzi,GRE,2004,1,1,1,0,0,0,0,0,0,0
Pavel Lagun,BLR,2000,1,3,2,0,0,0,0,0,0,1
Pavel Lagun,BLR,2004,1,3,2,0,0,0,0,0,0,1
Sergey Lagun,BLR,2008,1,1,1,0,0,0,0,0,0,1
Yevgeny Lagunov,RUS,2004,1,5,3,0,0,0,0,1,1,1
Yevgeny Lagunov,RUS,2008,1,5,3,0,0,0,0,1,1,1
Yevgeny Lagunov,RUS,2012,1,5,3,0,0,1,0,1,1,1
Sergey Lagutin,UZB,2004,1,1,3,0,0,0,0,0,0,1
Sergey Lagutin,UZB,2008,1,1,3,0,0,0,0,0,0,1
Sergey Lagutin,UZB,2012,1,1,3,0,0,0,0,0,0,1
Aziz Lahbabi,MAR,2012,1,1,1,0,0,0,0,0,0,1
Anirban Lahiri,IND,2016,1,2,2,0,0,0,0,0,0,1
Brahim Lahlafi,MAR,2000,1,1,1,0,0,1,0,0,1,1
Susanne Lahme,GER,2000,2,2,2,0,0,0,0,0,0,0
Susanne Lahme,GER,2004,2,2,2,0,0,0,0,0,0,0
Michael Lahnsteiner,AUT,2012,1,1,1,0,0,0,0,0,0,1
Abdelmalik Lahoulou,ALG,2016,1,2,2,0,0,0,0,0,0,1
Driss Lahrichi,MAR,2016,1,1,1,0,0,0,0,0,0,1
Mouhcine Lahsaini,MAR,2012,1,2,2,0,0,0,0,0,0,1
Mouhcine Lahsaini,MAR,2016,1,2,2,0,0,0,0,0,0,1
El Lahssini,FRA,2004,1,1,1,0,0,0,0,0,0,1
Sarah Lahti,SWE,2016,1,2,2,0,0,0,0,0,0,0
Mikko Lahtio,FIN,2008,1,1,1,0,0,0,0,0,0,1
Lai Chu-en,TPE,2016,1,1,1,0,0,0,0,0,0,1
Lai Ho,HKG,2008,1,2,2,0,0,0,0,0,0,1
Lai Ho,HKG,2012,1,2,2,0,0,0,0,0,0,1
Lai Meng-ting,TPE,2008,1,1,1,0,0,0,0,0,0,0
Lai Sheng-jung,TPE,2004,1,1,2,0,0,0,0,0,0,0
Lai Sheng-jung,TPE,2008,1,1,2,0,0,0,0,0,0,0
Lai Zhongjian,CHN,2004,1,1,2,0,0,0,0,0,0,1
Lai Zhongjian,CHN,2008,1,1,2,0,0,0,0,0,0,1
Francisca Laia,POR,2016,1,1,1,0,0,0,0,0,0,0
Samyr Laine,HAI,2012,1,1,1,0,0,0,0,0,0,1
Alexus Laird,SEY,2016,1,1,1,0,0,0,0,0,0,0
Amanda Laird,AUS,2000,1,2,2,0,0,0,0,0,0,0
Amanda Laird,AUS,2004,1,2,2,0,0,0,0,0,0,0
Nicole Laird,AUS,2016,1,1,1,0,0,0,0,0,0,0
Timo Laitinen,FIN,2000,1,1,1,0,0,0,0,0,0,1
Sarra Lajnef,TUN,2012,1,1,1,0,0,0,0,0,0,0
Pierre-Gilles Lakafia,FRA,2016,1,1,1,0,0,0,0,0,0,1
Joshua Lakatos,USA,2000,1,1,1,0,0,0,0,0,0,1
Pl Lakatos,HUN,2000,1,1,1,0,0,0,0,0,0,1
Aleksandr Lakatosh,RUS,2000,1,1,1,0,0,0,0,0,0,1
Morgan Lake,GBR,2016,1,2,2,0,0,0,0,0,0,0
Sven Lakenmacher,GER,2000,1,1,1,0,0,0,0,0,0,1
