Rank,NOC,Gold,Silver,Bronze,Total,Year,Hosting
34,Slovenia,2,1,0,3,2024,False
35,Chinese Taipei,2,0,5,7,2024,False
36,Austria,2,0,3,5,2024,False
37,Hong Kong,2,0,2,4,2024,False
37,Philippines,2,0,2,4,2024,False
39,Algeria,2,0,1,3,2024,False
39,Indonesia,2,0,1,3,2024,False
41,Israel,1,5,1,7,2024,False
42,Poland,1,4,5,10,2024,False
43,Kazakhstan,1,3,3,7,2024,False
44,Jamaica,1,3,2,6,2024,False
44,South Africa,1,3,2,6,2024,False
44,Thailand,1,3,2,6,2024,False
47,Ethiopia,1,3,0,4,2024,False
48,Switzerland,1,2,5,8,2024,False
49,Ecuador,1,2,2,5,2024,False
50,Portugal,1,2,1,4,2024,False
51,Greece,1,1,6,8,2024,False
52,Argentina,1,1,1,3,2024,False
52,Egypt,1,1,1,3,2024,False
52,Tunisia,1,1,1,3,2024,False
55,Botswana,1,1,0,2,2024,False
55,Chile,1,1,0,2,2024,False
55,Saint Lucia,1,1,0,2,2024,False
55,Uganda,1,1,0,2,2024,False
59,Dominican Republic,1,0,2,3,2024,False
60,Guatemala,1,0,1,2,2024,False
60,Morocco,1,0,1,2,2024,False
62,Dominica,1,0,0,1,2024,False
62,Pakistan,1,0,0,1,2024,False
64,Turkey,0,3,5,8,2024,False
65,Mexico,0,3,2,5,2024,False
66,Armenia,0,3,1,4,2024,False
66,Colombia,0,3,1,4,2024,False
68,Kyrgyzstan,0,2,4,6,2024,False
68,North Korea,0,2,4,6,2024,False
70,Lithuania,0,2,2,4,2024,False
71,India,0,1,5,6,2024,False
72,Moldova,0,1,3,4,2024,False
73,Kosovo,0,1,1,2,2024,False
74,Cyprus,0,1,0,1,2024,False
74,Fiji,0,1,0,1,2024,False
74,Jordan,0,1,0,1,2024,False
74,Mongolia,0,1,0,1,2024,False
74,Panama,0,1,0,1,2024,False
79,Tajikistan,0,0,3,3,2024,False
80,Albania,0,0,2,2,2024,False
80,Grenada,0,0,2,2,2024,False
80,Malaysia,0,0,2,2,2024,False
80,Puerto Rico,0,0,2,2,2024,False
84,Cabo Verde,0,0,1,1,2024,False
84,Ivory Coast,0,0,1,1,2024,False
84,Peru,0,0,1,1,2024,False
84,Qatar,0,0,1,1,2024,False
84,Refugee Olympic Team,0,0,1,1,2024,False
84,Singapore,0,0,1,1,2024,False
84,Slovakia,0,0,1,1,2024,False
84,Zambia,0,0,1,1,2024,False
